Mã ngành,Tên ngành,Hiệu lực,Ghi chú
Mã ngành,Tên ngành,Hiệu lực,Ghi chú
714,Khoa học giáo dục và đào tạo giáo viên,,
71401,Khoa học giáo dục,,
7140101,Giáo dục học,,
7140103,Công nghệ giáo dục,Có hiệu lực áp dụng từ ngày 22/7/2022,Bổ sung ngành mới
7140114,Quản lý giáo dục,,
71402,Đào tạo giáo viên,,
7140201,Giáo dục Mầm non,,
7140202,Giáo dục Tiểu học,,
7140203,Giáo dục Đặc biệt,,
7140204,Giáo dục Công dân,,
7140205,Giáo dục Chính trị,,
7140206,Giáo dục Thể chất,,
7140207,Huấn luyện thể thao,Có hiệu lực áp dụng từ ngày 22/7/2022,Chuyển đến nhóm ngành 78103
7140208,Giáo dục Quốc phòng - An ninh,,
7140209,Sư phạm Toán học,,
7140210,Sư phạm Tin học,,
7140211,Sư phạm Vật lý,,
7140212,Sư phạm Hóa học,,
7140213,Sư phạm Sinh học,,
7140214,Sư phạm Kỹ thuật công nghiệp,,
7140215,Sư phạm Kỹ thuật nông nghiệp,,
7140217,Sư phạm Ngữ văn,,
7140218,Sư phạm Lịch sử,,
7140219,Sư phạm Địa lý,,
7140221,Sư phạm Âm nhạc,,
7140222,Sư phạm Mỹ thuật,,
7140223,Sư phạm Tiếng Bana,,
7140224,Sư phạm Tiếng Êđê,,
7140225,Sư phạm Tiếng Jrai,,
7140226,Sư phạm Tiếng Khmer,,
7140227,Sư phạm Tiếng H'mong,,
7140228,Sư phạm Tiếng Chăm,,
7140229,Sư phạm Tiếng M'nông,,
7140230,Sư phạm Tiếng Xêđăng,,
7140231,Sư phạm Tiếng Anh,,
7140232,Sư phạm Tiếng Nga,,
7140233,Sư phạm Tiếng Pháp,,
7140234,Sư phạm Tiếng Trung Quốc,,
7140235,Sư phạm Tiếng Đức,,
7140236,Sư phạm Tiếng Nhật,,
7140237,Sư phạm Tiếng Hàn Quốc,,
7140245,Sư phạm nghệ thuật,,
7140246,Sư phạm công nghệ,,
7140247,Sư phạm Khoa học tự nhiên,,
7140248,Giáo dục pháp luật,,
7140249,Sư phạm Lịch sử - Địa lý,Có hiệu lực áp dụng từ ngày 22/7/2022,Bổ sung ngành mới
71490,Khác,,
721,Nghệ thuật,,
72101,Mỹ thuật,,
7210101,"Lý luận, lịch sử và phê bình mỹ thuật",,
7210103,Hội họa,,
7210104,Đồ họa,,
7210105,Điêu khắc,,
7210107,Gốm,,
7210110,Mỹ thuật đô thị,,
72102,Nghệ thuật trình diễn,,
7210201,Âm nhạc học,,
7210203,Sáng tác âm nhạc,,
7210204,Chỉ huy âm nhạc,,
7210205,Thanh nhạc,,
7210207,Biểu diễn nhạc cụ phương tây,,
7210208,Piano,,
7210209,Nhạc Jazz,,
7210210,Biểu diễn nhạc cụ truyền thống,,
7210221,"Lý luận, lịch sử và phê bình sân khấu",,
7210225,Biên kịch sân khấu,,
7210226,Diễn viên sân khấu kịch hát,,
7210227,Đạo diễn sân khấu,,
7210231,"Lý luận, lịch sử và phê bình điện ảnh, truyền hình",,
7210233,"Biên kịch điện ảnh, truyền hình",,
7210234,"Diễn viên kịch, điện ảnh - truyền hình",,
7210235,"Đạo diễn điện ảnh, truyền hình",,
7210236,Quay phim,,
7210241,"Lý luận, lịch sử và phê bình múa",,
7210242,Diễn viên múa,,
7210243,Biên đạo múa,,
7210244,Huấn luyện múa,,
72103,Nghệ thuật nghe nhìn,,
7210301,Nhiếp ảnh,,
7210302,"Công nghệ điện ảnh, truyền hình",,
7210303,"Thiết kế âm thanh, ánh sáng",,
72104,Mỹ thuật ứng dụng,,
7210402,Thiết kế công nghiệp,,
7210403,Thiết kế đồ họa,,
7210404,Thiết kế thời trang,,
7210406,"Thiết kế mỹ thuật sân khấu, điện ảnh",,
72190,Khác,,
722,Nhân văn,,
72201,"Ngôn ngữ, văn học và văn hóa Việt Nam",,
7220101,Tiếng Việt và văn hóa Việt Nam,,
7220104,Hán Nôm,,
7220105,Ngôn ngữ Jrai,,
7220106,Ngôn ngữ Khmer,,
7220107,Ngôn ngữ H'mong,,
7220108,Ngôn ngữ Chăm,,
7220110,Sáng tác văn học,,
7220112,Văn hóa các dân tộc thiểu số Việt Nam,,
72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",,
7220201,Ngôn ngữ Anh,,
7220202,Ngôn ngữ Nga,,
7220203,Ngôn ngữ Pháp,,
7220204,Ngôn ngữ Trung Quốc,,
7220205,Ngôn ngữ Đức,,
7220206,Ngôn ngữ Tây Ban Nha,,
7220207,Ngôn ngữ Bồ Đào Nha,,
7220208,Ngôn ngữ Italia,,
7220209,Ngôn ngữ Nhật,,
7220210,Ngôn ngữ Hàn Quốc,,
7220211,Ngôn ngữ Ảrập,,
72290,Khác,,
7229001,Triết học,,
